post_index,assigned_feature
0,46
1,62
2,55
3,62
4,46
5,62
6,62
7,62
8,62
9,46
10,62
11,46
12,58
13,46
14,58
15,62
16,45
17,62
18,33
19,46
20,46
21,62
22,25
23,30
24,58
25,30
26,55
27,47
28,30
29,62
30,62
31,62
32,55
33,27
34,30
35,62
36,55
37,30
38,47
39,55
40,55
41,62
42,46
43,55
44,46
45,46
46,45
47,62
48,62
49,8
50,62
51,22
52,30
53,46
54,46
55,62
56,55
57,55
58,22
59,25
60,25
61,55
62,46
63,58
64,62
65,30
66,8
67,30
68,55
69,13
70,62
71,62
72,30
73,62
74,62
75,25
76,27
77,58
78,13
79,30
80,30
81,62
82,62
83,30
84,55
85,30
86,62
87,30
88,30
89,46
90,6
91,58
92,6
93,62
94,58
95,47
96,62
97,46
98,62
99,55
100,21
101,62
102,55
103,30
104,62
105,55
106,6
107,62
108,46
109,30
110,62
111,62
112,30
113,62
114,30
115,30
116,62
117,62
118,55
119,62
120,46
121,55
122,30
123,62
124,62
125,30
126,45
127,30
128,62
129,6
130,30
131,46
132,62
133,62
134,45
135,46
136,62
137,6
138,46
139,62
140,46
141,62
142,55
143,25
144,55
145,45
146,55
147,46
148,30
149,55
150,55
151,46
152,55
153,62
154,46
155,25
156,45
157,46
158,62
159,6
160,62
161,46
162,6
163,62
164,62
165,62
166,55
167,62
168,55
169,62
170,62
171,45
172,6
173,62
174,30
175,62
176,62
177,62
178,6
179,62
180,62
181,55
182,62
183,58
184,62
185,11
186,6
187,62
188,30
189,45
190,46
191,6
192,62
193,62
194,46
195,55
196,55
197,58
198,55
199,62
200,27
201,62
202,27
203,6
204,62
205,62
206,55
207,55
208,27
209,55
210,46
211,30
212,55
213,6
214,62
215,62
216,46
217,25
218,62
219,62
220,58
221,62
222,58
223,62
224,45
225,46
226,45
227,25
228,58
229,58
230,55
231,30
232,8
233,58
234,25
235,62
236,58
237,6
238,62
239,6
240,62
241,62
242,6
243,30
244,55
245,6
246,62
247,21
248,30
249,45
250,62
251,46
252,30
253,62
254,58
255,46
256,27
257,62
258,8
259,62
260,25
261,44
262,62
263,47
264,30
265,62
266,62
267,55
268,27
269,59
270,62
271,62
272,62
273,62
274,46
275,59
276,62
277,6
278,6
279,62
280,30
281,62
282,55
283,30
284,62
285,58
286,62
287,55
288,58
289,30
290,58
291,55
292,62
293,55
294,30
295,62
296,46
297,30
298,25
299,62
300,62
301,62
302,62
303,46
304,46
305,55
306,13
307,55
308,30
309,55
310,62
311,6
312,62
313,45
314,58
315,55
316,55
317,62
318,62
319,62
320,62
321,55
322,25
323,47
324,55
325,58
326,30
327,21
328,46
329,46
330,62
331,58
332,62
333,62
334,62
335,55
336,55
337,62
338,30
339,62
340,58
341,55
342,55
343,62
344,47
345,46
346,62
347,62
348,25
349,62
350,58
351,25
352,30
353,58
354,6
355,55
356,62
357,55
358,62
359,55
360,2
361,30
362,55
363,62
364,6
365,62
366,62
367,13
368,58
369,46
370,30
371,58
372,6
373,62
374,62
375,58
376,55
377,62
378,61
379,46
380,59
381,62
382,62
383,62
384,6
385,6
386,62
387,45
388,58
389,30
390,6
391,46
392,62
393,62
394,55
395,62
396,46
397,62
398,62
399,55
400,45
401,58
402,62
403,25
404,62
405,8
406,8
407,62
408,30
409,62
410,62
411,62
412,58
413,55
414,58
415,55
416,62
417,55
418,46
419,37
420,62
421,25
422,30
423,55
424,46
425,46
426,45
427,46
428,55
429,62
430,45
431,6
432,62
433,58
434,30
435,46
436,62
437,62
438,62
439,27
440,25
441,62
442,25
443,6
444,25
445,62
446,62
447,45
448,62
449,6
450,62
451,58
452,6
453,62
454,62
455,62
456,62
457,55
458,25
459,62
460,55
461,62
462,30
463,59
464,45
465,62
466,62
467,26
468,62
469,55
470,62
471,62
472,62
473,6
474,58
475,55
476,58
477,30
478,55
479,45
480,55
481,46
482,30
483,62
484,55
485,45
486,62
487,62
488,8
489,62
490,62
491,46
492,6
493,30
494,46
495,58
496,62
497,58
498,30
499,62
500,46
501,25
502,55
503,25
504,59
505,58
506,62
507,55
508,62
509,62
510,55
511,62
512,6
513,62
514,62
515,62
516,58
517,46
518,62
519,62
520,55
521,30
522,62
523,62
524,58
525,62
526,30
527,6
528,62
529,58
530,46
531,30
532,6
533,11
534,27
535,46
536,55
537,62
538,6
539,58
540,30
541,62
542,46
543,62
544,45
545,62
546,62
547,6
548,62
549,55
550,30
551,30
552,62
553,58
554,62
555,62
556,62
557,6
558,58
559,58
560,6
561,27
562,62
563,6
564,62
565,55
566,30
567,45
568,46
569,62
570,62
571,47
572,30
573,62
574,55
575,62
576,62
577,62
578,62
579,62
580,62
581,62
582,62
583,62
584,58
585,47
586,58
587,30
588,25
589,62
590,37
591,62
